run,epoch,metric,value
0,0,loss,0.6948782801628113
0,1,loss,0.3622225224971771
0,2,loss,0.31628525257110596
0,3,loss,0.29378193616867065
0,4,loss,0.28128817677497864
0,5,loss,0.2700362503528595
0,6,loss,0.26252830028533936
0,7,loss,0.25590670108795166
0,8,loss,0.25014421343803406
0,9,loss,0.24648460745811462
0,0,accuracy,0.7872666716575623
0,1,accuracy,0.8947166800498962
0,2,accuracy,0.9079499840736389
0,3,accuracy,0.9153666496276855
0,4,accuracy,0.9196000099182129
0,5,accuracy,0.9225833415985107
0,6,accuracy,0.9237333536148071
0,7,accuracy,0.9260500073432922
0,8,accuracy,0.9276999831199646
0,9,accuracy,0.9281166791915894
0,0,val_loss,0.3967409133911133
0,1,val_loss,0.32685375213623047
0,2,val_loss,0.30026280879974365
0,3,val_loss,0.29563528299331665
0,4,val_loss,0.28563377261161804
0,5,val_loss,0.2762020230293274
0,6,val_loss,0.27480727434158325
0,7,val_loss,0.2751774489879608
0,8,val_loss,0.27565962076187134
0,9,val_loss,0.2649739682674408
0,0,val_accuracy,0.8902000188827515
0,1,val_accuracy,0.906000018119812
0,2,val_accuracy,0.9154999852180481
0,3,val_accuracy,0.9179999828338623
0,4,val_accuracy,0.9189000129699707
0,5,val_accuracy,0.9229000210762024
0,6,val_accuracy,0.921500027179718
0,7,val_accuracy,0.9232000112533569
0,8,val_accuracy,0.9203000068664551
0,9,val_accuracy,0.9233999848365784
