run,epoch,metric,value
0,0,loss,0.7489903569221497
0,1,loss,0.42209842801094055
0,2,loss,0.36858734488487244
0,3,loss,0.3350420296192169
0,4,loss,0.31066787242889404
0,5,loss,0.2939756214618683
0,6,loss,0.28246188163757324
0,7,loss,0.27427104115486145
0,8,loss,0.26819729804992676
0,9,loss,0.262086421251297
0,0,accuracy,0.7642833590507507
0,1,accuracy,0.879966676235199
0,2,accuracy,0.895633339881897
0,3,accuracy,0.9057166576385498
0,4,accuracy,0.9107333421707153
0,5,accuracy,0.9151833057403564
0,6,accuracy,0.9189500212669373
0,7,accuracy,0.9204999804496765
0,8,accuracy,0.9210333228111267
0,9,accuracy,0.9238166809082031
0,0,val_loss,0.46970874071121216
0,1,val_loss,0.3852123022079468
0,2,val_loss,0.35878628492355347
0,3,val_loss,0.33146795630455017
0,4,val_loss,0.3197510540485382
0,5,val_loss,0.3146529793739319
0,6,val_loss,0.2992837727069855
0,7,val_loss,0.29648762941360474
0,8,val_loss,0.2973923981189728
0,9,val_loss,0.29350948333740234
0,0,val_accuracy,0.8636999726295471
0,1,val_accuracy,0.8877000212669373
0,2,val_accuracy,0.8968999981880188
0,3,val_accuracy,0.9067999720573425
0,4,val_accuracy,0.9086999893188477
0,5,val_accuracy,0.9114000201225281
0,6,val_accuracy,0.9140999913215637
0,7,val_accuracy,0.9193999767303467
0,8,val_accuracy,0.9147999882698059
0,9,val_accuracy,0.9186999797821045
1,0,loss,0.6058077216148376
1,1,loss,0.3168734610080719
1,2,loss,0.28176620602607727
1,3,loss,0.26397180557250977
1,4,loss,0.25199607014656067
1,5,loss,0.24340900778770447
1,6,loss,0.23366779088974
1,7,loss,0.22805681824684143
1,8,loss,0.22232241928577423
1,9,loss,0.21761810779571533
1,0,accuracy,0.8130166530609131
1,1,accuracy,0.9072999954223633
1,2,accuracy,0.9184666872024536
1,3,accuracy,0.9234833121299744
1,4,accuracy,0.9260666370391846
1,5,accuracy,0.9295166730880737
1,6,accuracy,0.9314833283424377
1,7,accuracy,0.9331666827201843
1,8,accuracy,0.9355666637420654
1,9,accuracy,0.9366000294685364
1,0,val_loss,0.33092162013053894
1,1,val_loss,0.2998732626438141
1,2,val_loss,0.2717607319355011
1,3,val_loss,0.26146090030670166
1,4,val_loss,0.2596386671066284
1,5,val_loss,0.2492097169160843
1,6,val_loss,0.24191352725028992
1,7,val_loss,0.23605093359947205
