run,epoch,metric,value
0,0,loss,0.810516357421875
0,1,loss,0.402505487203598
0,2,loss,0.3542940318584442
0,3,loss,0.3242209553718567
0,4,loss,0.30378153920173645
0,5,loss,0.2905181348323822
0,6,loss,0.2825888395309448
0,7,loss,0.2747898995876312
0,8,loss,0.26812970638275146
0,9,loss,0.26388517022132874
0,0,accuracy,0.7450000047683716
0,1,accuracy,0.8826166391372681
0,2,accuracy,0.8963333368301392
0,3,accuracy,0.9054499864578247
0,4,accuracy,0.9118166565895081
0,5,accuracy,0.9161166548728943
0,6,accuracy,0.9179999828338623
0,7,accuracy,0.9206833243370056
0,8,accuracy,0.9215333461761475
0,9,accuracy,0.9247333407402039
0,0,val_loss,0.4388931095600128
0,1,val_loss,0.3681740164756775
0,2,val_loss,0.3322506546974182
0,3,val_loss,0.31445178389549255
0,4,val_loss,0.2952539622783661
0,5,val_loss,0.2924673855304718
0,6,val_loss,0.2839730978012085
0,7,val_loss,0.2844661772251129
0,8,val_loss,0.2821557819843292
0,9,val_loss,0.2750646770000458
0,0,val_accuracy,0.8740000128746033
0,1,val_accuracy,0.8948000073432922
0,2,val_accuracy,0.9031999707221985
0,3,val_accuracy,0.907800018787384
0,4,val_accuracy,0.9164000153541565
0,5,val_accuracy,0.9143000245094299
0,6,val_accuracy,0.9178000092506409
0,7,val_accuracy,0.9160000085830688
0,8,val_accuracy,0.9154999852180481
0,9,val_accuracy,0.9203000068664551
1,0,loss,0.7697151303291321
1,1,loss,0.4111977517604828
1,2,loss,0.3503119647502899
1,3,loss,0.31496864557266235
1,4,loss,0.2931046783924103
1,5,loss,0.2813009023666382
1,6,loss,0.2703111469745636
1,7,loss,0.26111501455307007
1,8,loss,0.2542264759540558
1,9,loss,0.24953065812587738
1,0,accuracy,0.7462499737739563
1,1,accuracy,0.8824499845504761
1,2,accuracy,0.8981500267982483
1,3,accuracy,0.9097833037376404
1,4,accuracy,0.9157500267028809
1,5,accuracy,0.918316662311554
1,6,accuracy,0.9211833477020264
1,7,accuracy,0.9235833287239075
1,8,accuracy,0.9257833361625671
1,9,accuracy,0.9273999929428101
1,0,val_loss,0.42668643593788147
1,1,val_loss,0.3648863136768341
1,2,val_loss,0.31826311349868774
1,3,val_loss,0.31405434012413025
1,4,val_loss,0.2909056544303894
1,5,val_loss,0.2743077278137207
1,6,val_loss,0.2663910388946533
1,7,val_loss,0.26668331027030945
1,8,val_loss,0.2489774227142334
1,9,val_loss,0.2566494643688202
1,0,val_accuracy,0.8765000104904175
1,1,val_accuracy,0.8938999772071838
1,2,val_accuracy,0.9082000255584717
1,3,val_accuracy,0.9100000262260437
1,4,val_accuracy,0.9154999852180481
1,5,val_accuracy,0.9223999977111816
1,6,val_accuracy,0.9236000180244446
1,7,val_accuracy,0.9230999946594238
1,8,val_accuracy,0.9271000027656555
1,9,val_accuracy,0.9271000027656555
2,0,loss,0.7009983658790588
2,1,loss,0.36559730768203735
2,2,loss,0.32077714800834656
2,3,loss,0.30161431431770325
2,4,loss,0.28735512495040894
2,5,loss,0.27523601055145264
2,6,loss,0.26515117287635803
2,7,loss,0.25815901160240173
2,8,loss,0.2513495683670044
2,9,loss,0.2448698878288269
2,0,accuracy,0.7767666578292847
2,1,accuracy,0.8937166929244995
2,2,accuracy,0.9078666567802429
2,3,accuracy,0.9141666889190674
2,4,accuracy,0.918066680431366
2,5,accuracy,0.9207666516304016
2,6,accuracy,0.9235833287239075
2,7,accuracy,0.9249833226203918
2,8,accuracy,0.9260166883468628
2,9,accuracy,0.9286333322525024
2,0,val_loss,0.38820821046829224
2,1,val_loss,0.3321988880634308
2,2,val_loss,0.30784592032432556
2,3,val_loss,0.2905685603618622
2,4,val_loss,0.2820988595485687
2,5,val_loss,0.27021440863609314
2,6,val_loss,0.26330438256263733
2,7,val_loss,0.28094303607940674
2,8,val_loss,0.25727108120918274
2,9,val_loss,0.26241904497146606
2,0,val_accuracy,0.8855000138282776
2,1,val_accuracy,0.9046000242233276
2,2,val_accuracy,0.9100000262260437
2,3,val_accuracy,0.9139999747276306
2,4,val_accuracy,0.9157999753952026
2,5,val_accuracy,0.921999990940094
2,6,val_accuracy,0.9229000210762024
2,7,val_accuracy,0.9189000129699707
2,8,val_accuracy,0.9239000082015991
2,9,val_accuracy,0.9243999719619751
3,0,loss,0.7009486556053162
3,1,loss,0.4028088450431824
3,2,loss,0.35268619656562805
3,3,loss,0.31878137588500977
3,4,loss,0.29427024722099304
3,5,loss,0.27761754393577576
3,6,loss,0.2654934227466583
3,7,loss,0.2564058303833008
3,8,loss,0.24955013394355774
3,9,loss,0.24316972494125366
3,0,accuracy,0.7779499888420105
3,1,accuracy,0.8852166533470154
3,2,accuracy,0.8980666399002075
3,3,accuracy,0.906166672706604
3,4,accuracy,0.9142333269119263
3,5,accuracy,0.9191666841506958
3,6,accuracy,0.9222333431243896
3,7,accuracy,0.9250333309173584
3,8,accuracy,0.9262333512306213
3,9,accuracy,0.9294333457946777
3,0,val_loss,0.4319465756416321
3,1,val_loss,0.36251917481422424
3,2,val_loss,0.33253371715545654
3,3,val_loss,0.31086423993110657
3,4,val_loss,0.2890879511833191
3,5,val_loss,0.28939539194107056
3,6,val_loss,0.2725135385990143
3,7,val_loss,0.2587626874446869
3,8,val_loss,0.25454315543174744
3,9,val_loss,0.25142478942871094
3,0,val_accuracy,0.8761000037193298
3,1,val_accuracy,0.8934000134468079
3,2,val_accuracy,0.9046000242233276
3,3,val_accuracy,0.9121000170707703
3,4,val_accuracy,0.9172000288963318
3,5,val_accuracy,0.9164999723434448
3,6,val_accuracy,0.9208999872207642
3,7,val_accuracy,0.9229999780654907
3,8,val_accuracy,0.9254999756813049
3,9,val_accuracy,0.9271000027656555
4,0,loss,0.711076557636261
4,1,loss,0.37546926736831665
4,2,loss,0.3300600051879883
4,3,loss,0.3066144585609436
4,4,loss,0.29236289858818054
4,5,loss,0.2809348702430725
4,6,loss,0.2731291651725769
4,7,loss,0.2667695879936218
4,8,loss,0.2598320245742798
4,9,loss,0.2540203630924225
4,0,accuracy,0.7914666533470154
4,1,accuracy,0.8908166885375977
4,2,accuracy,0.906333327293396
4,3,accuracy,0.9136833548545837
4,4,accuracy,0.917900025844574
4,5,accuracy,0.9207666516304016
4,6,accuracy,0.9229833483695984
4,7,accuracy,0.9242333173751831
4,8,accuracy,0.9255833625793457
4,9,accuracy,0.9279333353042603
4,0,val_loss,0.4144518971443176
4,1,val_loss,0.34460321068763733
4,2,val_loss,0.3149162232875824
4,3,val_loss,0.3206338584423065
4,4,val_loss,0.29360106587409973
4,5,val_loss,0.28226274251937866
4,6,val_loss,0.2790588438510895
4,7,val_loss,0.2725963592529297
4,8,val_loss,0.2693155109882355
4,9,val_loss,0.2655738294124603
4,0,val_accuracy,0.8823000192642212
4,1,val_accuracy,0.9020000100135803
4,2,val_accuracy,0.9125999808311462
4,3,val_accuracy,0.9138000011444092
4,4,val_accuracy,0.9180999994277954
4,5,val_accuracy,0.9194999933242798
4,6,val_accuracy,0.9246000051498413
4,7,val_accuracy,0.9247999787330627
4,8,val_accuracy,0.9265000224113464
4,9,val_accuracy,0.9247000217437744
5,0,loss,0.7999748587608337
5,1,loss,0.4285641014575958
5,2,loss,0.35158711671829224
5,3,loss,0.30939242243766785
5,4,loss,0.28778016567230225
5,5,loss,0.2727314829826355
5,6,loss,0.26189887523651123
5,7,loss,0.25367090106010437
5,8,loss,0.24666334688663483
5,9,loss,0.24142615497112274
5,0,accuracy,0.7426333427429199
5,1,accuracy,0.8764333128929138
5,2,accuracy,0.8996000289916992
5,3,accuracy,0.911549985408783
5,4,accuracy,0.9179999828338623
5,5,accuracy,0.9217333197593689
5,6,accuracy,0.9244833588600159
5,7,accuracy,0.9262333512306213
5,8,accuracy,0.9281333088874817
5,9,accuracy,0.928766667842865
5,0,val_loss,0.4790654182434082
5,1,val_loss,0.3734719753265381
5,2,val_loss,0.3176412582397461
5,3,val_loss,0.3021790683269501
5,4,val_loss,0.2763688564300537
5,5,val_loss,0.27414289116859436
5,6,val_loss,0.2625683546066284
5,7,val_loss,0.25940176844596863
5,8,val_loss,0.25282856822013855
5,9,val_loss,0.25433292984962463
5,0,val_accuracy,0.8585000038146973
5,1,val_accuracy,0.8924000263214111
5,2,val_accuracy,0.9088000059127808
5,3,val_accuracy,0.9143999814987183
5,4,val_accuracy,0.9190999865531921
5,5,val_accuracy,0.920799970626831
5,6,val_accuracy,0.9240000247955322
5,7,val_accuracy,0.925000011920929
5,8,val_accuracy,0.9273999929428101
5,9,val_accuracy,0.926800012588501
6,0,loss,0.7734468579292297
6,1,loss,0.35720643401145935
6,2,loss,0.3079594075679779
6,3,loss,0.2862602472305298
6,4,loss,0.2741481065750122
6,5,loss,0.2642676830291748
6,6,loss,0.2564743161201477
6,7,loss,0.251161128282547
6,8,loss,0.2466525137424469
6,9,loss,0.2433623969554901
6,0,accuracy,0.7599666714668274
6,1,accuracy,0.8956999778747559
6,2,accuracy,0.9103166460990906
6,3,accuracy,0.9167333245277405
6,4,accuracy,0.9208999872207642
6,5,accuracy,0.9228333234786987
6,6,accuracy,0.9249833226203918
6,7,accuracy,0.9258833527565002
