run,epoch,metric,value
0,0,loss,0.7472759485244751
0,1,loss,0.3623800277709961
0,2,loss,0.3086159825325012
0,3,loss,0.28599756956100464
0,4,loss,0.2717509865760803
0,5,loss,0.2628229558467865
0,6,loss,0.2551553547382355
0,7,loss,0.2497110664844513
0,8,loss,0.24584363400936127
0,9,loss,0.2406335473060608
0,0,accuracy,0.7651166915893555
0,1,accuracy,0.8963333368301392
0,2,accuracy,0.9102166891098022
0,3,accuracy,0.9175500273704529
0,4,accuracy,0.9214166402816772
0,5,accuracy,0.9241333603858948
0,6,accuracy,0.9254833459854126
0,7,accuracy,0.9276166558265686
0,8,accuracy,0.9284499883651733
0,9,accuracy,0.9288333058357239
0,0,val_loss,0.4196409285068512
0,1,val_loss,0.3310256898403168
0,2,val_loss,0.30702683329582214
0,3,val_loss,0.3040820062160492
0,4,val_loss,0.29458388686180115
0,5,val_loss,0.2796165645122528
0,6,val_loss,0.2967788875102997
0,7,val_loss,0.2807215452194214
0,8,val_loss,0.26323583722114563
0,9,val_loss,0.26655274629592896
0,0,val_accuracy,0.8823999762535095
0,1,val_accuracy,0.9016000032424927
0,2,val_accuracy,0.9110999703407288
0,3,val_accuracy,0.9132000207901001
0,4,val_accuracy,0.9217000007629395
0,5,val_accuracy,0.9217000007629395
0,6,val_accuracy,0.9160000085830688
0,7,val_accuracy,0.9193000197410583
0,8,val_accuracy,0.9265999794006348
0,9,val_accuracy,0.9258000254631042
1,0,loss,0.7073982357978821
1,1,loss,0.36437857151031494
1,2,loss,0.31528201699256897
1,3,loss,0.2943408489227295
1,4,loss,0.2816084325313568
1,5,loss,0.27223122119903564
1,6,loss,0.2623334228992462
1,7,loss,0.2551214098930359
1,8,loss,0.24877503514289856
1,9,loss,0.2439510077238083
1,0,accuracy,0.7700499892234802
1,1,accuracy,0.8944500088691711
1,2,accuracy,0.9103000164031982
1,3,accuracy,0.9167666435241699
1,4,accuracy,0.9189833402633667
1,5,accuracy,0.9223833084106445
1,6,accuracy,0.9244666695594788
1,7,accuracy,0.9274500012397766
1,8,accuracy,0.928766667842865
1,9,accuracy,0.9293500185012817
1,0,val_loss,0.4100321829319
1,1,val_loss,0.34232211112976074
1,2,val_loss,0.30481353402137756
1,3,val_loss,0.2888816297054291
1,4,val_loss,0.2827431261539459
1,5,val_loss,0.27006539702415466
1,6,val_loss,0.2734505236148834
1,7,val_loss,0.2783717215061188
1,8,val_loss,0.276297926902771
1,9,val_loss,0.26430079340934753
1,0,val_accuracy,0.8809999823570251
1,1,val_accuracy,0.8982999920845032
1,2,val_accuracy,0.9093000292778015
1,3,val_accuracy,0.9171000123023987
1,4,val_accuracy,0.9200000166893005
1,5,val_accuracy,0.9253000020980835
1,6,val_accuracy,0.9208999872207642
1,7,val_accuracy,0.9178000092506409
1,8,val_accuracy,0.9192000031471252
1,9,val_accuracy,0.9226999878883362
2,0,loss,0.7996817827224731
2,1,loss,0.4380095303058624
2,2,loss,0.36840176582336426
2,3,loss,0.33040985465049744
